Round,plot-lane,treatment,canopycover,vstart,Time,heightchange,vlost,vend,comments
Round4,D2,plate,80,2,11:35,6.9,0.61,1.39,*extremely spread suspected probably birds. Burrows found using dung off edge of plate.
Round4,D2,fence,70,2,11:35,3.6,0.32,1.68,rhino beetle evidence (burrowers) almost toppled fence.
Round4,E2,control,70,2,11:50,5.1,0.45,1.55,*spread. Unknown cause.
Round4,E2,plate,60,2,11:50,5.4,0.48,1.52,*no evidence of beetles. Or limited burrows.
Round4,E2,fence,40,2,11:50,2.7,0.24,1.76,"balls found at edge, some actively rolling. Soil indictative of burrowers  found"
Round4,F2,control,50,2,12:05,5.4,0.48,1.52,
Round4,F2,plate,90,2,12:05,2.1,0.19,1.81,burrowers around side.
Round4,F2,fence,70,2,12:05,3.5,0.31,1.69,
Round4,G2,control,70,2,12:20,5.7,0.5,1.5,*birds suspected- may facilitate.photo taken at 11.25. resampled measurement may have contained soil. May have just bben too difficult to collect
Round4,G2,plate,50,2,12:20,2.7,0.24,1.76,
Round4,G2,fence,85,2,12:20,2.2,0.19,1.81,
Round4,H2,control,80,2,12:30,5.7,0.5,1.5,spread possibly by birds and subsequently burrow holes (11.51)
Round4,H2,plate,75,2,12:30,2.7,0.24,1.76,burrowers around side.
Round4,H2,fence,40,2,12:30,2.8,0.25,1.75,
Round4,I2,control,60,2,16:30,4.6,0.41,1.59,Active beetles.
Round4,I2,plate,50,2,16:30,2.1,0.19,1.81,Spread not thought to be birds and burrowers. 
Round4,I2,fence,70,2,16:30,3.2,0.28,1.72,
Round5,A1,control,70,2,10:50,5.4,0.48,1.52,relatively dry not scattered
Round5,A1,plate,30,2,10:50,2.4,0.21,1.79,"scatterred, no burrows, may not have collected all "
Round5,A1,fence,60,2,10:50,2.1,0.19,1.81,
Round5,B1,control,65,2,11:10,6,0.53,1.47,
Round5,B1,plate,60,2,11:10,2.6,0.23,1.77,burrows in compact soil
Round5,B1,fence,30,2,11:10,2.8,0.25,1.75,"very dry, not much activity"
Round5,C1,control,50,2,11:20,4.7,0.41,1.59,"very dry, burrowing activity witnessed"
Round5,C1,plate,55,2,11:20,2.8,0.25,1.75,a little scattered
Round5,C1,fence,75,2,11:20,3.1,0.27,1.73,
Round5,D1,control,65,2,11.45,4.5,0.4,1.6,quite dry but still burrows
Round5,D1,plate,40,2,11.45,2.7,0.24,1.76,""""""
Round5,D1,fence,90,2,11.45,3.3,0.29,1.71,""""""
Round5,E1,control,20,2,12,5.5,0.49,1.51,scattered
Round5,E1,plate,65,2,12,2.1,0.19,1.81,not 
Round5,E1,fence,30,2,12,2.7,0.24,1.76,not
Round5,F1,control,70,2,10.05,3.4,0.3,1.7,burrows
Round5,F1,plate,80,2,10.05,1.8,0.16,1.84,
Round5,F1,fence,60,2,10.05,1.4,0.12,1.88,
Round5,G1,control,20,2,10.2,4.4,0.39,1.61,
Round5,G1,plate,30,2,10.2,2.2,0.19,1.81,very dry
Round5,G1,fence,80,2,10.2,2,0.18,1.82,
Round5,H1,control,40,2,12.15,5,0.44,1.56,"not quite 48hrs, sampled at 11.30"
Round5,H1,plate,65,2,12.15,2.7,0.24,1.76,
Round5,H1,fence,65,2,12.15,1.8,0.16,1.84,
